Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio,no_DY_bkg,Right_DY,DY_factor
2022,nobin_,diMuon_pt,eff_ZCR_self_reweighting_6-th,6519010,6520924.398945959,6496785.440291969,0.9997064221529284,24138.95865399018,6494871.04134601,0.9997053313575531
2022,nobin_,n_jet,eff_ZCR_self_reweighting_6-th,6519010,6520912.776293812,6496785.440291969,0.9997082039955005,24127.336001843214,6494882.663998157,0.9997071203426218
2022,nobin_,diMuon_mass,eff_ZCR_self_reweighting_6-th,6519010,6520924.398945959,6496785.440291969,0.9997064221529284,24138.95865399018,6494871.04134601,0.9997053313575531
2022EE,nobin_,diMuon_pt,eff_ZCR_self_reweighting_6-th,17772155,17773868.58906062,17703500.999644667,0.9999035894154369,70367.58941595256,17701787.410584047,0.9999032062042048
2022EE,nobin_,n_jet,eff_ZCR_self_reweighting_6-th,17772155,17773786.078761384,17703454.598401934,0.9999082312145451,70331.48035944998,17701823.51964055,0.9999078666396822
2022EE,nobin_,diMuon_mass,eff_ZCR_self_reweighting_6-th,17772155,17773868.589060616,17703500.999644667,0.9999035894154371,70367.58941594884,17701787.41058405,0.999903206204205
2023,nobin_,diMuon_pt,eff_ZCR_self_reweighting_6-th,12685456,12691443.854351928,12637638.581435233,0.9995281975462645,53805.2729166951,12631650.727083305,0.9995261888276561
2023,nobin_,n_jet,eff_ZCR_self_reweighting_6-th,12685456,12691406.495294673,12637622.738107353,0.9995311398073271,53783.75718731992,12631672.24281268,0.9995291444112562
2023,nobin_,diMuon_mass,eff_ZCR_self_reweighting_6-th,12685456,12691443.854351928,12637638.581435233,0.9995281975462645,53805.2729166951,12631650.727083305,0.9995261888276561
2023BPix,nobin_,diMuon_pt,eff_ZCR_self_reweighting_6-th,6603643,6607978.474155753,6579169.705728534,0.9993439031055096,28808.768427219242,6574834.231572781,0.9993410301983884
2023BPix,nobin_,n_jet,eff_ZCR_self_reweighting_6-th,6603643,6607949.325026073,6579153.606073382,0.9993483114330548,28795.71895269025,6574847.28104731,0.9993454591146652
2023BPix,nobin_,diMuon_mass,eff_ZCR_self_reweighting_6-th,6603643,6607978.474155752,6579169.705728534,0.9993439031055098,28808.76842721831,6574834.231572782,0.9993410301983886
